technique_id,tactic_id,relationship
T1548,TA0005,is tactic of
T1548,TA0004,is tactic of
T1134,TA0005,is tactic of
T1134,TA0004,is tactic of
T1531,TA0040,is tactic of
T1087,TA0007,is tactic of
T1098,TA0003,is tactic of
T1098,TA0004,is tactic of
T1650,TA0042,is tactic of
T1583,TA0042,is tactic of
T1595,TA0043,is tactic of
T1557,TA0009,is tactic of
T1557,TA0006,is tactic of
T1071,TA0011,is tactic of
T1010,TA0007,is tactic of
T1560,TA0009,is tactic of
T1123,TA0009,is tactic of
T1119,TA0009,is tactic of
T1020,TA0010,is tactic of
T1197,TA0005,is tactic of
T1197,TA0003,is tactic of
T1547,TA0003,is tactic of
T1547,TA0004,is tactic of
T1037,TA0003,is tactic of
T1037,TA0004,is tactic of
T1176,TA0003,is tactic of
T1217,TA0007,is tactic of
T1185,TA0009,is tactic of
T1110,TA0006,is tactic of
T1612,TA0005,is tactic of
T1115,TA0009,is tactic of
T1651,TA0002,is tactic of
T1580,TA0007,is tactic of
T1538,TA0007,is tactic of
T1526,TA0007,is tactic of
T1619,TA0007,is tactic of
T1059,TA0002,is tactic of
T1092,TA0011,is tactic of
T1586,TA0042,is tactic of
T1554,TA0003,is tactic of
T1584,TA0042,is tactic of
T1609,TA0002,is tactic of
T1613,TA0007,is tactic of
T1659,TA0011,is tactic of
T1659,TA0001,is tactic of
T1136,TA0003,is tactic of
T1543,TA0003,is tactic of
T1543,TA0004,is tactic of
T1555,TA0006,is tactic of
T1485,TA0040,is tactic of
T1132,TA0011,is tactic of
T1486,TA0040,is tactic of
T1565,TA0040,is tactic of
T1001,TA0011,is tactic of
T1074,TA0009,is tactic of
T1030,TA0010,is tactic of
T1530,TA0009,is tactic of
T1602,TA0009,is tactic of
T1213,TA0009,is tactic of
T1005,TA0009,is tactic of
T1039,TA0009,is tactic of
T1025,TA0009,is tactic of
T1622,TA0005,is tactic of
T1622,TA0007,is tactic of
T1491,TA0040,is tactic of
T1140,TA0005,is tactic of
T1610,TA0005,is tactic of
T1610,TA0002,is tactic of
T1587,TA0042,is tactic of
T1652,TA0007,is tactic of
T1006,TA0005,is tactic of
T1561,TA0040,is tactic of
T1482,TA0007,is tactic of
T1484,TA0005,is tactic of
T1484,TA0004,is tactic of
T1189,TA0001,is tactic of
T1568,TA0011,is tactic of
T1114,TA0009,is tactic of
T1573,TA0011,is tactic of
T1499,TA0040,is tactic of
T1611,TA0004,is tactic of
T1585,TA0042,is tactic of
T1546,TA0003,is tactic of
T1546,TA0004,is tactic of
T1480,TA0005,is tactic of
T1048,TA0010,is tactic of
T1041,TA0010,is tactic of
T1011,TA0010,is tactic of
T1052,TA0010,is tactic of
T1567,TA0010,is tactic of
T1190,TA0001,is tactic of
T1203,TA0002,is tactic of
T1212,TA0006,is tactic of
T1211,TA0005,is tactic of
T1068,TA0004,is tactic of
T1210,TA0008,is tactic of
T1133,TA0001,is tactic of
T1133,TA0003,is tactic of
T1008,TA0011,is tactic of
T1083,TA0007,is tactic of
T1222,TA0005,is tactic of
T1657,TA0040,is tactic of
T1495,TA0040,is tactic of
T1187,TA0006,is tactic of
T1606,TA0006,is tactic of
T1592,TA0043,is tactic of
T1589,TA0043,is tactic of
T1590,TA0043,is tactic of
T1591,TA0043,is tactic of
T1615,TA0007,is tactic of
T1200,TA0001,is tactic of
T1564,TA0005,is tactic of
T1665,TA0011,is tactic of
T1574,TA0005,is tactic of
T1574,TA0003,is tactic of
T1574,TA0004,is tactic of
T1562,TA0005,is tactic of
T1656,TA0005,is tactic of
T1525,TA0003,is tactic of
T1070,TA0005,is tactic of
T1202,TA0005,is tactic of
T1105,TA0011,is tactic of
T1490,TA0040,is tactic of
T1056,TA0009,is tactic of
T1056,TA0006,is tactic of
T1559,TA0002,is tactic of
T1534,TA0008,is tactic of
T1570,TA0008,is tactic of
T1654,TA0007,is tactic of
T1036,TA0005,is tactic of
T1556,TA0006,is tactic of
T1556,TA0005,is tactic of
T1556,TA0003,is tactic of
T1578,TA0005,is tactic of
T1666,TA0005,is tactic of
T1112,TA0005,is tactic of
T1601,TA0005,is tactic of
T1111,TA0006,is tactic of
T1621,TA0006,is tactic of
T1104,TA0011,is tactic of
T1106,TA0002,is tactic of
T1599,TA0005,is tactic of
T1498,TA0040,is tactic of
T1046,TA0007,is tactic of
T1135,TA0007,is tactic of
T1040,TA0006,is tactic of
T1040,TA0007,is tactic of
T1095,TA0011,is tactic of
T1571,TA0011,is tactic of
T1003,TA0006,is tactic of
T1027,TA0005,is tactic of
T1588,TA0042,is tactic of
T1137,TA0003,is tactic of
T1201,TA0007,is tactic of
T1120,TA0007,is tactic of
T1069,TA0007,is tactic of
T1566,TA0001,is tactic of
T1598,TA0043,is tactic of
T1647,TA0005,is tactic of
T1653,TA0003,is tactic of
T1542,TA0005,is tactic of
T1542,TA0003,is tactic of
T1057,TA0007,is tactic of
T1055,TA0005,is tactic of
T1055,TA0004,is tactic of
T1572,TA0011,is tactic of
T1090,TA0011,is tactic of
T1012,TA0007,is tactic of
T1620,TA0005,is tactic of
T1219,TA0011,is tactic of
T1563,TA0008,is tactic of
T1021,TA0008,is tactic of
T1018,TA0007,is tactic of
T1091,TA0001,is tactic of
T1091,TA0008,is tactic of
T1496,TA0040,is tactic of
T1207,TA0005,is tactic of
T1014,TA0005,is tactic of
T1053,TA0002,is tactic of
T1053,TA0003,is tactic of
T1053,TA0004,is tactic of
T1029,TA0010,is tactic of
T1113,TA0009,is tactic of
T1597,TA0043,is tactic of
T1596,TA0043,is tactic of
T1593,TA0043,is tactic of
T1594,TA0043,is tactic of
T1505,TA0003,is tactic of
T1648,TA0002,is tactic of
T1489,TA0040,is tactic of
T1129,TA0002,is tactic of
T1072,TA0002,is tactic of
T1072,TA0008,is tactic of
T1518,TA0007,is tactic of
T1608,TA0042,is tactic of
T1528,TA0006,is tactic of
T1539,TA0006,is tactic of
T1649,TA0006,is tactic of
T1558,TA0006,is tactic of
T1553,TA0005,is tactic of
T1195,TA0001,is tactic of
T1218,TA0005,is tactic of
T1082,TA0007,is tactic of
T1614,TA0007,is tactic of
T1016,TA0007,is tactic of
T1049,TA0007,is tactic of
T1033,TA0007,is tactic of
T1216,TA0005,is tactic of
T1007,TA0007,is tactic of
T1569,TA0002,is tactic of
T1529,TA0040,is tactic of
T1124,TA0007,is tactic of
T1080,TA0008,is tactic of
T1221,TA0005,is tactic of
T1205,TA0011,is tactic of
T1205,TA0005,is tactic of
T1205,TA0003,is tactic of
T1537,TA0010,is tactic of
T1127,TA0005,is tactic of
T1199,TA0001,is tactic of
T1552,TA0006,is tactic of
T1535,TA0005,is tactic of
T1550,TA0005,is tactic of
T1550,TA0008,is tactic of
T1204,TA0002,is tactic of
T1078,TA0005,is tactic of
T1078,TA0001,is tactic of
T1078,TA0003,is tactic of
T1078,TA0004,is tactic of
T1125,TA0009,is tactic of
T1497,TA0005,is tactic of
T1497,TA0007,is tactic of
T1600,TA0005,is tactic of
T1102,TA0011,is tactic of
T1047,TA0002,is tactic of
T1220,TA0005,is tactic of
